,연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
2721,2722,2023-01-06,1호선,150,서울역,하차,258,1422,3673,9117,5605,2481,2310,2500,2602,2596,2533,2632,3525,4632,2958,1662,1536,920,604,214
3264,3265,2023-01-07,1호선,150,서울역,승차,236,252,471,1217,1825,2515,2934,3467,3240,2443,3324,3561,3572,2770,2264,1887,2133,1496,554,3
3265,3266,2023-01-07,1호선,150,서울역,하차,249,1252,1563,1803,2733,2688,2814,3507,2930,2650,2638,2907,2872,2172,1850,1550,1483,1080,560,58
3808,3809,2023-01-08,1호선,150,서울역,승차,127,183,309,638,1132,1617,2042,2407,2369,1953,2574,2520,2858,2453,2260,2007,2196,1539,537,7
3809,3810,2023-01-08,1호선,150,서울역,하차,138,685,781,1111,1677,1638,1625,2261,2233,2414,2457,2635,2673,2390,1968,1665,1085,697,281,20
4352,4353,2023-01-09,1호선,150,서울역,승차,296,499,1853,3039,1984,1871,2281,2629,2420,2097,2733,3405,5819,8715,3886,2645,2518,1379,593,76
4353,4354,2023-01-09,1호선,150,서울역,하차,316,2005,4501,9698,5932,2645,2209,2485,2293,1910,2164,2002,2619,2913,1764,1252,949,711,324,100
4896,4897,2023-01-10,1호선,150,서울역,승차,290,461,1669,2605,1927,1839,2268,2591,2470,2127,2915,3338,5941,8648,4140,2718,2704,1522,731,91
4897,4898,2023-01-10,1호선,150,서울역,하차,280,1580,4123,9798,5986,2732,2225,2161,2185,1891,2171,2368,2649,3058,1746,1054,1045,781,351,109
5440,5441,2023-01-11,1호선,150,서울역,승차,270,465,1567,2675,1872,1851,2428,2615,2654,2178,2978,3630,6281,8860,3871,2673,2775,1639,763,74
5441,5442,2023-01-11,1호선,150,서울역,하차,271,1519,4073,9940,6113,2687,2302,2350,2271,1939,2329,2419,2914,3081,1741,1361,1057,842,477,139
5984,5985,2023-01-12,1호선,150,서울역,승차,262,485,1582,2698,2016,1849,2550,2651,2804,2245,3160,3559,6244,8815,4103,2774,3082,1911,828,124
5985,5986,2023-01-12,1호선,150,서울역,하차,276,1540,4326,9503,6055,2600,2241,2400,2386,1962,2416,2341,2986,3338,1989,1257,1194,856,487,151
6528,6529,2023-01-13,1호선,150,서울역,승차,244,428,1568,2367,2191,1841,2421,2904,3051,2445,3840,4274,7140,8842,4186,3231,3394,2307,1011,201
6529,6530,2023-01-13,1호선,150,서울역,하차,209,1351,3639,8270,6428,2794,2312,2626,2809,2456,2421,2852,3714,4415,2928,1819,1386,999,589,169
7072,7073,2023-01-14,1호선,150,서울역,승차,240,271,474,1171,1784,2275,3359,3293,3246,2489,3238,4228,3921,2843,2351,1845,2193,1519,570,1
7073,7074,2023-01-14,1호선,150,서울역,하차,196,1189,1486,1931,2634,2457,2620,3351,2858,2724,2785,3034,2949,2320,1888,1459,1568,1175,604,66
7616,7617,2023-01-15,1호선,150,서울역,승차,127,168,266,749,1171,1650,2049,2448,2408,2018,2536,2375,2912,2508,2663,1957,2387,1658,518,5
7617,7618,2023-01-15,1호선,150,서울역,하차,154,664,824,1131,1775,1696,1916,2346,2387,2591,2662,2522,2659,2305,2449,1716,1198,694,312,36
8160,8161,2023-01-16,1호선,150,서울역,승차,302,473,2013,3077,2136,1681,2495,3021,2416,2190,2819,3307,5628,8988,3934,2638,2409,1477,590,79
8161,8162,2023-01-16,1호선,150,서울역,하차,343,1905,4652,9857,6112,2594,2292,2422,2384,1975,2242,2350,2907,3093,1772,1219,1113,695,354,105
8704,8705,2023-01-17,1호선,150,서울역,승차,265,499,1545,2865,2050,1720,2301,2569,2425,2080,2860,3356,5996,9050,3872,2759,2787,1626,696,102
8705,8706,2023-01-17,1호선,150,서울역,하차,262,1607,4268,9898,6226,2663,2097,2455,2391,2008,2198,2329,2974,3200,1766,1171,1052,811,411,128
9248,9249,2023-01-18,1호선,150,서울역,승차,301,442,1594,2656,2039,1768,2301,2625,2542,2197,2984,3459,6273,8859,3884,2758,2903,1755,689,94
9249,9250,2023-01-18,1호선,150,서울역,하차,278,1582,4142,9862,6258,2577,2284,2768,2609,2269,2593,2691,3357,3550,2176,1570,1375,845,405,116
9792,9793,2023-01-19,1호선,150,서울역,승차,309,474,1591,2476,1752,1614,1953,2048,2444,2191,2995,3515,6052,8369,3988,2687,2722,1694,842,107
9793,9794,2023-01-19,1호선,150,서울역,하차,312,1636,4033,9649,5850,2953,2272,2846,2795,2253,2408,2659,3405,3748,2068,1758,1514,1030,487,172
10336,10337,2023-01-20,1호선,150,서울역,승차,241,410,1340,2053,1469,1419,1965,2576,2759,3203,4496,5243,5418,5103,3160,2005,2289,1540,639,103
10337,10338,2023-01-20,1호선,150,서울역,하차,361,1758,3715,8308,5561,2603,2111,3018,3411,2885,3014,3363,3728,3847,3121,1865,1653,1264,471,157
10880,10881,2023-01-21,1호선,150,서울역,승차,143,169,286,844,1086,1389,1927,2395,2186,1817,2159,2346,2223,1860,1614,1160,1204,716,342,3
10881,10882,2023-01-21,1호선,150,서울역,하차,256,1236,1425,1683,2490,1974,1921,3196,2970,2781,2531,2682,2788,2571,2375,1686,1260,914,297,59
11424,11425,2023-01-22,1호선,150,서울역,승차,106,181,379,668,707,1028,1415,2098,2203,1706,2029,2319,2194,2043,1971,1723,1838,1389,724,432
11425,11426,2023-01-22,1호선,150,서울역,하차,228,1078,1260,1423,2064,1437,1486,2552,2720,2414,2135,2138,2202,1613,1257,806,633,414,228,167
11968,11969,2023-01-23,1호선,150,서울역,승차,73,109,280,1078,1469,1903,2122,2468,2377,1821,2473,2515,2708,2550,2538,2086,2389,1853,861,865
11969,11970,2023-01-23,1호선,150,서울역,하차,101,635,745,1098,1656,1625,1764,2281,2051,2150,2134,1994,1883,1522,1249,912,760,525,346,158
12512,12513,2023-01-24,1호선,150,서울역,승차,99,108,318,1364,1417,1913,1988,2085,2544,1536,2365,2380,2468,2367,2567,2015,2164,2148,922,39
12513,12514,2023-01-24,1호선,150,서울역,하차,81,361,586,852,1382,1314,1464,1949,1827,1721,1888,1658,1916,1426,1389,1046,851,473,312,63
13056,13057,2023-01-25,1호선,150,서울역,승차,195,425,1593,2635,1815,1731,1983,2338,2382,1902,2713,2915,5207,8622,4201,2846,2790,1659,801,164
13057,13058,2023-01-25,1호선,150,서울역,하차,254,1487,3415,8367,5146,2040,1771,1966,1793,1587,1737,1662,2038,2592,1586,1018,799,625,285,82
13600,13601,2023-01-26,1호선,150,서울역,승차,259,444,1676,3003,2210,2097,2769,2702,2926,2344,3031,3626,5991,8792,4521,3177,3042,1957,958,159
13601,13602,2023-01-26,1호선,150,서울역,하차,282,1516,4371,9528,6254,2744,2128,2129,2192,1908,2212,2190,2654,3224,1965,1311,1148,854,407,119
14144,14145,2023-01-27,1호선,150,서울역,승차,272,437,1595,2623,2035,1861,2502,2931,2835,2486,3408,4342,6662,9240,4468,3362,3509,2327,1086,176
14145,14146,2023-01-27,1호선,150,서울역,하차,240,1526,3974,9113,5689,2652,2151,2393,2648,2388,2692,2654,3741,4402,2949,1668,1377,1005,551,176
14688,14689,2023-01-28,1호선,150,서울역,승차,234,205,456,1185,1745,2373,2805,3079,3325,2319,3033,3537,3367,2638,2194,1758,2077,1536,655,2
14689,14690,2023-01-28,1호선,150,서울역,하차,223,1195,1450,1686,2621,2373,2562,3003,2610,2429,2578,2624,2738,2410,1941,1479,1491,1051,603,60
15232,15233,2023-01-29,1호선,150,서울역,승차,145,164,267,664,1111,1466,1791,2174,2260,1759,2521,2571,2498,2388,2549,1849,2241,1634,531,4
15233,15234,2023-01-29,1호선,150,서울역,하차,135,616,911,1040,1527,1615,1603,2079,2280,2159,2498,2403,2726,2208,2056,1589,1211,648,351,30
15776,15777,2023-01-30,1호선,150,서울역,승차,307,477,1941,2970,1885,1890,2297,2449,2449,2059,2587,3056,5613,8734,4007,2778,2583,1456,589,58
15777,15778,2023-01-30,1호선,150,서울역,하차,319,1951,4632,9586,6121,2543,2214,2294,2304,2064,2017,2194,2515,2875,1813,1208,1005,692,338,89
16320,16321,2023-01-31,1호선,150,서울역,승차,296,450,1601,2512,1922,1799,2156,2395,2524,2234,2829,3528,5675,8677,3933,2855,2760,1694,740,90
16321,16322,2023-01-31,1호선,150,서울역,하차,314,1625,4083,9837,5762,2601,2081,2129,2239,2052,2177,2275,2658,2906,1632,1251,1053,833,364,139
16864,16865,2023-02-01,1호선,150,서울역,승차,284,452,1572,2689,1979,1791,2271,2511,2622,2246,3027,3683,5747,8866,4046,2639,2670,1575,734,78
16865,16866,2023-02-01,1호선,150,서울역,하차,265,1671,4045,9698,6206,2688,2050,2245,2294,1925,2271,2331,2652,3035,1865,1213,1106,777,376,105
17408,17409,2023-02-02,1호선,150,서울역,승차,287,459,1592,2675,1939,1708,2374,2476,2394,2250,2651,3874,5815,8695,3976,2649,2849,1687,782,74
17409,17410,2023-02-02,1호선,150,서울역,하차,300,1619,4135,9500,6332,2610,2218,2328,2255,1868,2186,2343,2686,3338,1842,1348,1145,768,410,120
