연번,호선,고유역번호(외부역코드),역명,수송연월,하차인원수
1803,3,342,오금(3),2022-07,155402
1804,4,409,당고개,2022-07,240494
1805,4,410,상계,2022-07,498854
1806,4,411,노원(4),2022-07,615137
1807,4,412,창동,2022-07,769864
1808,4,413,쌍문,2022-07,743078
1809,4,414,수유,2022-07,953496
1810,4,415,미아,2022-07,395194
1811,4,416,미아사거리,2022-07,756501
1812,4,417,길음,2022-07,558777
1813,4,418,성신여대입구,2022-07,551568
1814,4,419,한성대입구,2022-07,362841
1815,4,420,혜화,2022-07,1010074
1816,4,421,동대문(4),2022-07,561335
1817,4,422,동대문역사문화공원(4),2022-07,402814
1818,4,423,충무로(4),2022-07,713775
1819,4,424,명동,2022-07,614573
1820,4,425,회현,2022-07,704279
1821,4,426,서울역(4),2022-07,542166
1822,4,427,숙대입구,2022-07,363744
1823,4,428,삼각지(4),2022-07,177118
1824,4,429,신용산,2022-07,527737
1825,4,430,이촌,2022-07,299558
1826,4,431,동작,2022-07,59728
1827,4,432,이수(총신대입구),2022-07,583202
1828,4,433,사당(4),2022-07,644640
1829,4,434,남태령,2022-07,33571
1830,5,2511,방화,2022-07,185674
1831,5,2512,개화산,2022-07,152171
1832,5,2513,김포공항(5),2022-07,248678
1833,5,2514,송정,2022-07,175451
1834,5,2515,마곡,2022-07,291572
1835,5,2516,발산,2022-07,597085
1836,5,2517,우장산,2022-07,399798
1837,5,2518,화곡,2022-07,740909
1838,5,2519,까치산(5),2022-07,772461
1839,5,2520,신정,2022-07,315925
1840,5,2521,목동,2022-07,490040
1841,5,2522,오목교,2022-07,658945
1842,5,2523,양평(5),2022-07,197208
1843,5,2524,영등포구청(5),2022-07,113877
1844,5,2525,영등포시장,2022-07,303708
1845,5,2526,신길(5),2022-07,126003
1846,5,2527,여의도(5),2022-07,803491
1847,5,2528,여의나루,2022-07,405137
1848,5,2529,마포,2022-07,391557
1849,5,2530,공덕(5),2022-07,401247
1850,5,2531,애오개,2022-07,183226
1851,5,2532,충정로(5),2022-07,118368
1852,5,2533,서대문,2022-07,501399
1853,5,2534,광화문,2022-07,881792
1854,5,2535,종로3가(5),2022-07,389269
1855,5,2536,을지로4가(5),2022-07,167237
1856,5,2537,동대문역사문화공원(5),2022-07,92502
1857,5,2538,청구(5),2022-07,100359
1858,5,2539,신금호,2022-07,183985
1859,5,2540,행당,2022-07,202227
1860,5,2541,왕십리(5),2022-07,154166
1861,5,2542,마장,2022-07,146247
1862,5,2543,답십리,2022-07,418678
1863,5,2544,장한평,2022-07,512507
1864,5,2545,군자(5),2022-07,349903
1865,5,2546,아차산,2022-07,399590
1866,5,2547,광나루,2022-07,349201
1867,5,2548,천호(5),2022-07,542566
1868,5,2549,강동,2022-07,501278
1869,5,2550,길동,2022-07,236597
1870,5,2551,굽은다리,2022-07,269131
1871,5,2552,명일,2022-07,253296
1872,5,2553,고덕,2022-07,269802
1873,5,2554,상일동,2022-07,384501
1874,5,2555,둔촌동,2022-07,231281
1875,5,2556,올림픽공원(5),2022-07,105524
1876,5,2557,방이,2022-07,207263
1877,5,2558,오금(5),2022-07,100322
1878,5,2559,개롱,2022-07,188195
1879,5,2560,거여,2022-07,268754
1880,5,2561,마천,2022-07,196588
1881,5,2562,강일,2022-07,123178
1882,5,2563,미사,2022-07,475157
1883,5,2564,하남풍산,2022-07,119793
1884,5,2565,하남시청,2022-07,197533
1885,5,2566,하남검단산,2022-07,176265
1886,6,2611,응암,2022-07,487737
1887,6,2612,역촌,2022-07,119410
1888,6,2613,불광(6),2022-07,129745
1889,6,2614,독바위,2022-07,84889
1890,6,2616,구산,2022-07,166245
1891,6,2617,새절,2022-07,325662
1892,6,2618,증산,2022-07,277635
1893,6,2619,디지털미디어시티(6),2022-07,427459
1894,6,2620,월드컵경기장,2022-07,195218
1895,6,2621,마포구청,2022-07,360469
1896,6,2622,망원,2022-07,441648
1897,6,2623,합정(6),2022-07,399449
1898,6,2624,상수,2022-07,315410
1899,6,2625,광흥창,2022-07,243915
1900,6,2626,대흥,2022-07,242358
1901,6,2627,공덕(6),2022-07,483207
1902,6,2628,효창공원앞,2022-07,175231
1903,6,2629,삼각지(6),2022-07,176062
1904,6,2630,녹사평,2022-07,158517
1905,6,2631,이태원,2022-07,416099
1906,6,2632,한강진,2022-07,307222
1907,6,2633,버티고개,2022-07,60570
1908,6,2634,약수(6),2022-07,103416
1909,6,2635,청구(6),2022-07,103665
1910,6,2636,신당(6),2022-07,234302
1911,6,2637,동묘앞(6),2022-07,238488
1912,6,2638,창신,2022-07,79498
1913,6,2639,보문,2022-07,194213
1914,6,2640,안암,2022-07,291218
1915,6,2641,고려대,2022-07,217389
1916,6,2642,월곡,2022-07,313581
1917,6,2643,상월곡,2022-07,157602
1918,6,2644,돌곶이,2022-07,243411
1919,6,2645,석계(6),2022-07,352416
1920,6,2646,태릉입구(6),2022-07,169147
1921,6,2647,화랑대,2022-07,247150
1922,6,2648,봉화산,2022-07,237418
1923,7,2711,장암,2022-07,34450
1924,7,2712,도봉산(7),2022-07,303497
1925,7,2713,수락산,2022-07,370323
1926,7,2714,마들,2022-07,343027
1927,7,2715,노원(7),2022-07,612315
1928,7,2716,중계,2022-07,364085
1929,7,2717,하계,2022-07,468551
1930,7,2718,공릉,2022-07,329524
1931,7,2719,태릉입구(7),2022-07,230114
1932,7,2720,먹골,2022-07,282726
1933,7,2721,중화,2022-07,292849
1934,7,2722,상봉(7),2022-07,458421
1935,7,2723,면목,2022-07,406122
1936,7,2724,사가정,2022-07,445988
1937,7,2725,용마산,2022-07,165938
1938,7,2726,중곡,2022-07,282798
1939,7,2727,군자(7),2022-07,337465
1940,7,2728,어린이대공원,2022-07,364510
1941,7,2729,건대입구(7),2022-07,396118
1942,7,2730,뚝섬유원지,2022-07,257558
1943,7,2731,청담,2022-07,590370
1944,7,2732,강남구청,2022-07,492488
1945,7,2733,학동,2022-07,656033
1946,7,2734,논현,2022-07,531954
1947,7,2735,반포,2022-07,167727
1948,7,2736,고속터미널(7),2022-07,403141
1949,7,2737,내방,2022-07,401802
1950,7,2738,이수(7),2022-07,456751
1951,7,2739,남성,2022-07,289646
1952,7,2740,숭실대입구,2022-07,335144
1953,7,2741,상도,2022-07,294384
1954,7,2742,장승배기,2022-07,253122
1955,7,2743,신대방삼거리,2022-07,407965
1956,7,2744,보라매,2022-07,219932
1957,7,2745,신풍,2022-07,322633
1958,7,2746,대림(7),2022-07,253744
1959,7,2747,남구로,2022-07,441463
1960,7,2748,가산디지털단지(7),2022-07,1116312
1961,7,2749,철산,2022-07,606458
1962,7,2750,광명사거리,2022-07,612771
1963,7,2751,천왕,2022-07,301409
1964,7,2752,온수(7),2022-07,253912
1965,8,2811,암사,2022-07,465069
1966,8,2812,천호(8),2022-07,491745
1967,8,2813,강동구청,2022-07,291773
1968,8,2814,몽촌토성,2022-07,177035
1969,8,2815,잠실(8),2022-07,540336
1970,8,2816,석촌(8),2022-07,253034
1971,8,2817,송파,2022-07,242937
1972,8,2818,가락시장(8),2022-07,234184
1973,8,2819,문정,2022-07,581659
1974,8,2820,장지,2022-07,469845
1975,8,2821,복정(8),2022-07,218906
1976,8,2822,산성,2022-07,151423
1977,8,2823,남한산성입구,2022-07,336976
1978,8,2824,단대오거리,2022-07,286365
1979,8,2825,신흥,2022-07,136652
1980,8,2826,수진,2022-07,142545
1981,8,2827,모란(8),2022-07,112502
1982,8,2828,남위례,2022-07,157064
1983,9,4126,언주,2022-07,52199
1984,9,4127,선정릉,2022-07,47490
1985,9,4128,삼성중앙,2022-07,38546
1986,9,4129,봉은사,2022-07,95218
1987,9,4130,종합운동장(9),2022-07,21176
1988,9,4131,삼전,2022-07,48132
1989,9,4132,석촌고분,2022-07,40988
1990,9,4133,석촌(9),2022-07,50904
1991,9,4134,송파나루,2022-07,44038
1992,9,4135,한성백제,2022-07,21930
1993,9,4136,올림픽공원(9),2022-07,40569
1994,9,4137,둔촌오륜,2022-07,10236
1995,9,4138,중앙보훈병원,2022-07,58910
1996,1,150,서울역(1),2022-08,1308757
1997,1,151,시청(1),2022-08,649885
1998,1,152,종각,2022-08,963022
1999,1,153,종로3가(1),2022-08,661307
2000,1,154,종로5가,2022-08,616993
2001,1,155,동대문(1),2022-08,295307
2002,1,156,신설동(1),2022-08,358114
2003,1,157,제기동,2022-08,493439
2004,1,158,청량리,2022-08,566099
2005,1,159,동묘앞(1),2022-08,261286
2006,2,201,시청(2),2022-08,597267
2007,2,202,을지로입구,2022-08,1147831
2008,2,203,을지로3가(2),2022-08,623713
2009,2,204,을지로4가(2),2022-08,351501
2010,2,205,동대문역사문화공원(2),2022-08,424713
2011,2,206,신당(2),2022-08,403278
2012,2,207,상왕십리,2022-08,376537
2013,2,208,왕십리(2),2022-08,383640
2014,2,209,한양대,2022-08,202956
2015,2,210,뚝섬,2022-08,650811
2016,2,211,성수,2022-08,1105060
2017,2,212,건대입구(2),2022-08,1093327
2018,2,213,구의,2022-08,629963
2019,2,214,강변,2022-08,901206
2020,2,215,잠실나루,2022-08,377036
2021,2,216,잠실(2),2022-08,2087236
2022,2,217,잠실새내,2022-08,616035
2023,2,218,종합운동장(2),2022-08,397422
2024,2,219,삼성,2022-08,1479875
2025,2,220,선릉,2022-08,1297526
2026,2,221,역삼,2022-08,1494004
2027,2,222,강남,2022-08,2152978
2028,2,223,교대(2),2022-08,982996
2029,2,224,서초,2022-08,553058
2030,2,225,방배,2022-08,439665
2031,2,226,사당(2),2022-08,1164182
2032,2,227,낙성대,2022-08,738734
2033,2,228,서울대입구,2022-08,1267303
2034,2,229,봉천,2022-08,618861
2035,2,230,신림,2022-08,1566109
2036,2,231,신대방,2022-08,683590
2037,2,232,구로디지털단지,2022-08,1557588
2038,2,233,대림(2),2022-08,684030
2039,2,234,신도림,2022-08,1330414
2040,2,235,문래,2022-08,599311
2041,2,236,영등포구청(2),2022-08,595227
2042,2,237,당산,2022-08,561948
2043,2,238,합정(2),2022-08,988158
2044,2,239,홍대입구,2022-08,1943348
2045,2,240,신촌,2022-08,1014872
2046,2,241,이대,2022-08,395222
2047,2,242,아현,2022-08,272510
2048,2,243,충정로(2),2022-08,279703
2049,2,244,용답,2022-08,78458
2050,2,245,신답,2022-08,51673
2051,2,246,신설동(2),2022-08,99599
2052,2,247,도림천,2022-08,38732
2053,2,248,양천구청,2022-08,191330
2054,2,249,신정네거리,2022-08,288558
2055,2,250,용두,2022-08,67653
2056,3,309,지축,2022-08,138542
2057,3,310,구파발,2022-08,570833
2058,3,311,연신내(3),2022-08,946481
2059,3,312,불광(3),2022-08,479535
2060,3,313,녹번,2022-08,371178
2061,3,314,홍제,2022-08,448471
2062,3,315,무악재,2022-08,107268
2063,3,316,독립문,2022-08,202622
2064,3,317,경복궁,2022-08,606647
2065,3,318,안국,2022-08,631100
2066,3,319,종로3가(3),2022-08,317369
2067,3,320,을지로3가(3),2022-08,281655
2068,3,322,동대입구,2022-08,257905
2069,3,323,약수(3),2022-08,342845
2070,3,324,금호,2022-08,201922
2071,3,325,옥수,2022-08,259399
2072,3,326,압구정,2022-08,943914
2073,3,327,신사,2022-08,833201
2074,3,328,잠원,2022-08,128687
2075,3,329,고속터미널(3),2022-08,1322085
2076,3,330,교대(3),2022-08,242524
2077,3,331,남부터미널,2022-08,813746
2078,3,332,양재,2022-08,1044475
2079,3,333,매봉,2022-08,309725
2080,3,334,도곡,2022-08,140566
2081,3,335,대치,2022-08,323945
2082,3,336,학여울,2022-08,75103
2083,3,337,대청,2022-08,256593
2084,3,338,일원,2022-08,268149
2085,3,339,수서,2022-08,501174
2086,3,340,가락시장(3),2022-08,236635
2087,3,341,경찰병원,2022-08,195728
2088,3,342,오금(3),2022-08,151199
2089,4,409,당고개,2022-08,233501
2090,4,410,상계,2022-08,481871
2091,4,411,노원(4),2022-08,589617
2092,4,412,창동,2022-08,740005
2093,4,413,쌍문,2022-08,723196
2094,4,414,수유,2022-08,924776
2095,4,415,미아,2022-08,384005
2096,4,416,미아사거리,2022-08,723702
2097,4,417,길음,2022-08,540421
2098,4,418,성신여대입구,2022-08,534539
2099,4,419,한성대입구,2022-08,351101
2100,4,420,혜화,2022-08,981347
2101,4,421,동대문(4),2022-08,503726
2102,4,422,동대문역사문화공원(4),2022-08,387208
2103,4,423,충무로(4),2022-08,691612
2104,4,424,명동,2022-08,619825
2105,4,425,회현,2022-08,654668
2106,4,426,서울역(4),2022-08,527064
2107,4,427,숙대입구,2022-08,352274
2108,4,428,삼각지(4),2022-08,176806
2109,4,429,신용산,2022-08,517698
2110,4,430,이촌,2022-08,306167
2111,4,431,동작,2022-08,61242
2112,4,432,이수(총신대입구),2022-08,558575
2113,4,433,사당(4),2022-08,604088
2114,4,434,남태령,2022-08,32724
2115,5,2511,방화,2022-08,179131
2116,5,2512,개화산,2022-08,147447
2117,5,2513,김포공항(5),2022-08,232638
2118,5,2514,송정,2022-08,168844
2119,5,2515,마곡,2022-08,282414
2120,5,2516,발산,2022-08,576375
2121,5,2517,우장산,2022-08,390530
2122,5,2518,화곡,2022-08,722914
2123,5,2519,까치산(5),2022-08,749853
2124,5,2520,신정,2022-08,305358
2125,5,2521,목동,2022-08,478446
2126,5,2522,오목교,2022-08,641217
2127,5,2523,양평(5),2022-08,192438
2128,5,2524,영등포구청(5),2022-08,112994
2129,5,2525,영등포시장,2022-08,293359
2130,5,2526,신길(5),2022-08,122588
2131,5,2527,여의도(5),2022-08,805109
2132,5,2528,여의나루,2022-08,409660
2133,5,2529,마포,2022-08,382530
2134,5,2530,공덕(5),2022-08,390186
2135,5,2531,애오개,2022-08,176367
2136,5,2532,충정로(5),2022-08,119741
2137,5,2533,서대문,2022-08,492338
2138,5,2534,광화문,2022-08,920645
2139,5,2535,종로3가(5),2022-08,373840
2140,5,2536,을지로4가(5),2022-08,164549
2141,5,2537,동대문역사문화공원(5),2022-08,93629
2142,5,2538,청구(5),2022-08,97103
2143,5,2539,신금호,2022-08,177326
2144,5,2540,행당,2022-08,197574
2145,5,2541,왕십리(5),2022-08,146225
2146,5,2542,마장,2022-08,143096
2147,5,2543,답십리,2022-08,416756
2148,5,2544,장한평,2022-08,496180
2149,5,2545,군자(5),2022-08,338834
2150,5,2546,아차산,2022-08,386607
2151,5,2547,광나루,2022-08,344817
2152,5,2548,천호(5),2022-08,519495
2153,5,2549,강동,2022-08,491123
2154,5,2550,길동,2022-08,230262
2155,5,2551,굽은다리,2022-08,255940
2156,5,2552,명일,2022-08,244246
2157,5,2553,고덕,2022-08,260833
2158,5,2554,상일동,2022-08,373041
2159,5,2555,둔촌동,2022-08,223706
2160,5,2556,올림픽공원(5),2022-08,120575
2161,5,2557,방이,2022-08,201719
2162,5,2558,오금(5),2022-08,97060
2163,5,2559,개롱,2022-08,181177
2164,5,2560,거여,2022-08,258714
2165,5,2561,마천,2022-08,189691
2166,5,2562,강일,2022-08,120658
2167,5,2563,미사,2022-08,462251
2168,5,2564,하남풍산,2022-08,114084
2169,5,2565,하남시청,2022-08,188000
2170,5,2566,하남검단산,2022-08,167905
2171,6,2611,응암,2022-08,470674
2172,6,2612,역촌,2022-08,120012
2173,6,2613,불광(6),2022-08,123477
2174,6,2614,독바위,2022-08,81394
2175,6,2616,구산,2022-08,162004
2176,6,2617,새절,2022-08,314426
2177,6,2618,증산,2022-08,267940
2178,6,2619,디지털미디어시티(6),2022-08,419585
2179,6,2620,월드컵경기장,2022-08,152672
2180,6,2621,마포구청,2022-08,352351
2181,6,2622,망원,2022-08,435660
2182,6,2623,합정(6),2022-08,380934
2183,6,2624,상수,2022-08,307396
2184,6,2625,광흥창,2022-08,238679
2185,6,2626,대흥,2022-08,232368
2186,6,2627,공덕(6),2022-08,473862
2187,6,2628,효창공원앞,2022-08,171554
2188,6,2629,삼각지(6),2022-08,170183
2189,6,2630,녹사평,2022-08,152319
2190,6,2631,이태원,2022-08,402029
2191,6,2632,한강진,2022-08,288833
2192,6,2633,버티고개,2022-08,59599
2193,6,2634,약수(6),2022-08,98739
2194,6,2635,청구(6),2022-08,100772
2195,6,2636,신당(6),2022-08,227469
2196,6,2637,동묘앞(6),2022-08,225901
2197,6,2638,창신,2022-08,77669
2198,6,2639,보문,2022-08,186210
2199,6,2640,안암,2022-08,284444
2200,6,2641,고려대,2022-08,208405
2201,6,2642,월곡,2022-08,305819
2202,6,2643,상월곡,2022-08,152865
2203,6,2644,돌곶이,2022-08,238118
2204,6,2645,석계(6),2022-08,343298
2205,6,2646,태릉입구(6),2022-08,163930
2206,6,2647,화랑대,2022-08,237054
2207,6,2648,봉화산,2022-08,229361
2208,7,2711,장암,2022-08,31730
2209,7,2712,도봉산(7),2022-08,287148
2210,7,2713,수락산,2022-08,353763
2211,7,2714,마들,2022-08,333545
2212,7,2715,노원(7),2022-08,583516
2213,7,2716,중계,2022-08,348067
2214,7,2717,하계,2022-08,449177
2215,7,2718,공릉,2022-08,312192
2216,7,2719,태릉입구(7),2022-08,221494
2217,7,2720,먹골,2022-08,275063
2218,7,2721,중화,2022-08,281367
2219,7,2722,상봉(7),2022-08,443806
2220,7,2723,면목,2022-08,396423
2221,7,2724,사가정,2022-08,431361
2222,7,2725,용마산,2022-08,160219
2223,7,2726,중곡,2022-08,275881
2224,7,2727,군자(7),2022-08,328886
2225,7,2728,어린이대공원,2022-08,374304
2226,7,2729,건대입구(7),2022-08,380897
2227,7,2730,뚝섬유원지,2022-08,251438
2228,7,2731,청담,2022-08,576200
2229,7,2732,강남구청,2022-08,485694
2230,7,2733,학동,2022-08,643287
2231,7,2734,논현,2022-08,512164
2232,7,2735,반포,2022-08,162761
2233,7,2736,고속터미널(7),2022-08,385848
2234,7,2737,내방,2022-08,390342
2235,7,2738,이수(7),2022-08,417149
2236,7,2739,남성,2022-08,285273
2237,7,2740,숭실대입구,2022-08,322717
2238,7,2741,상도,2022-08,285832
2239,7,2742,장승배기,2022-08,247187
2240,7,2743,신대방삼거리,2022-08,391199
2241,7,2744,보라매,2022-08,207275
2242,7,2745,신풍,2022-08,307555
2243,7,2746,대림(7),2022-08,245685
2244,7,2747,남구로,2022-08,429173
2245,7,2748,가산디지털단지(7),2022-08,1083488
2246,7,2749,철산,2022-08,582502
2247,7,2750,광명사거리,2022-08,588556
2248,7,2751,천왕,2022-08,289970
2249,7,2752,온수(7),2022-08,248056
2250,8,2811,암사,2022-08,453107
2251,8,2812,천호(8),2022-08,472489
2252,8,2813,강동구청,2022-08,282283
2253,8,2814,몽촌토성,2022-08,171541
2254,8,2815,잠실(8),2022-08,510141
2255,8,2816,석촌(8),2022-08,245031
2256,8,2817,송파,2022-08,234614
2257,8,2818,가락시장(8),2022-08,226320
2258,8,2819,문정,2022-08,569490
2259,8,2820,장지,2022-08,448287
2260,8,2821,복정(8),2022-08,210960
2261,8,2822,산성,2022-08,145704
2262,8,2823,남한산성입구,2022-08,329224
2263,8,2824,단대오거리,2022-08,278507
2264,8,2825,신흥,2022-08,131443
2265,8,2826,수진,2022-08,138265
2266,8,2827,모란(8),2022-08,109975
2267,8,2828,남위례,2022-08,154164
2268,9,4126,언주,2022-08,51945
2269,9,4127,선정릉,2022-08,46445
2270,9,4128,삼성중앙,2022-08,37681
2271,9,4129,봉은사,2022-08,90351
2272,9,4130,종합운동장(9),2022-08,21035
2273,9,4131,삼전,2022-08,47780
2274,9,4132,석촌고분,2022-08,41227
2275,9,4133,석촌(9),2022-08,50648
2276,9,4134,송파나루,2022-08,43206
2277,9,4135,한성백제,2022-08,21714
2278,9,4136,올림픽공원(9),2022-08,43495
2279,9,4137,둔촌오륜,2022-08,9659
2280,9,4138,중앙보훈병원,2022-08,57410
2281,1,150,서울역(1),2022-09,1338840
2282,1,151,시청(1),2022-09,659746
2283,1,152,종각,2022-09,940611
2284,1,153,종로3가(1),2022-09,680876
2285,1,154,종로5가,2022-09,635526
2286,1,155,동대문(1),2022-09,317451
2287,1,156,신설동(1),2022-09,365271
2288,1,157,제기동,2022-09,510124
2289,1,158,청량리,2022-09,585380
2290,1,159,동묘앞(1),2022-09,289492
2291,2,201,시청(2),2022-09,585717
2292,2,202,을지로입구,2022-09,1149445
2293,2,203,을지로3가(2),2022-09,614299
2294,2,204,을지로4가(2),2022-09,348684
2295,2,205,동대문역사문화공원(2),2022-09,428469
2296,2,206,신당(2),2022-09,407971
2297,2,207,상왕십리,2022-09,377314
2298,2,208,왕십리(2),2022-09,388680
2299,2,209,한양대,2022-09,375390
2300,2,210,뚝섬,2022-09,644636
2301,2,211,성수,2022-09,1073489
2302,2,212,건대입구(2),2022-09,1112307
2303,2,213,구의,2022-09,626608
2304,2,214,강변,2022-09,894935
2305,2,215,잠실나루,2022-09,380799
2306,2,216,잠실(2),2022-09,2044618
2307,2,217,잠실새내,2022-09,619817
2308,2,218,종합운동장(2),2022-09,530557
2309,2,219,삼성,2022-09,1401938
2310,2,220,선릉,2022-09,1249403
2311,2,221,역삼,2022-09,1425208
2312,2,222,강남,2022-09,2051842
2313,2,223,교대(2),2022-09,987686
2314,2,224,서초,2022-09,560501
2315,2,225,방배,2022-09,507310
2316,2,226,사당(2),2022-09,1197425
2317,2,227,낙성대,2022-09,753069
2318,2,228,서울대입구,2022-09,1284864
2319,2,229,봉천,2022-09,608128
2320,2,230,신림,2022-09,1535820
2321,2,231,신대방,2022-09,684704
2322,2,232,구로디지털단지,2022-09,1535940
2323,2,233,대림(2),2022-09,694085
2324,2,234,신도림,2022-09,1346679
2325,2,235,문래,2022-09,589575
2326,2,236,영등포구청(2),2022-09,594653
2327,2,237,당산,2022-09,588324
2328,2,238,합정(2),2022-09,979155
2329,2,239,홍대입구,2022-09,1927398
2330,2,240,신촌,2022-09,1091148
2331,2,241,이대,2022-09,493910
2332,2,242,아현,2022-09,281163
2333,2,243,충정로(2),2022-09,281710
2334,2,244,용답,2022-09,91967
2335,2,245,신답,2022-09,51126
2336,2,246,신설동(2),2022-09,101549
2337,2,247,도림천,2022-09,38138
2338,2,248,양천구청,2022-09,197752
2339,2,249,신정네거리,2022-09,291099
2340,2,250,용두,2022-09,67610
2341,3,309,지축,2022-09,144893
2342,3,310,구파발,2022-09,579490
2343,3,311,연신내(3),2022-09,957750
2344,3,312,불광(3),2022-09,495419
2345,3,313,녹번,2022-09,384780
2346,3,314,홍제,2022-09,474996
2347,3,315,무악재,2022-09,111957
2348,3,316,독립문,2022-09,217459
2349,3,317,경복궁,2022-09,743403
2350,3,318,안국,2022-09,685414
2351,3,319,종로3가(3),2022-09,322908
2352,3,320,을지로3가(3),2022-09,278597
2353,3,322,동대입구,2022-09,340435
2354,3,323,약수(3),2022-09,347806
2355,3,324,금호,2022-09,206395
2356,3,325,옥수,2022-09,266999
2357,3,326,압구정,2022-09,937830
2358,3,327,신사,2022-09,810364
2359,3,328,잠원,2022-09,133634
2360,3,329,고속터미널(3),2022-09,1375698
2361,3,330,교대(3),2022-09,251690
2362,3,331,남부터미널,2022-09,812085
2363,3,332,양재,2022-09,1059409
2364,3,333,매봉,2022-09,308752
2365,3,334,도곡,2022-09,142671
2366,3,335,대치,2022-09,324318
2367,3,336,학여울,2022-09,65229
2368,3,337,대청,2022-09,257874
2369,3,338,일원,2022-09,270123
2370,3,339,수서,2022-09,509374
2371,3,340,가락시장(3),2022-09,243151
2372,3,341,경찰병원,2022-09,192593
2373,3,342,오금(3),2022-09,154050
2374,4,409,당고개,2022-09,239171
2375,4,410,상계,2022-09,497853
2376,4,411,노원(4),2022-09,607728
2377,4,412,창동,2022-09,757555
2378,4,413,쌍문,2022-09,741575
2379,4,414,수유,2022-09,955806
2380,4,415,미아,2022-09,410574
2381,4,416,미아사거리,2022-09,738412
2382,4,417,길음,2022-09,610965
2383,4,418,성신여대입구,2022-09,586063
2384,4,419,한성대입구,2022-09,405408
2385,4,420,혜화,2022-09,1014433
2386,4,421,동대문(4),2022-09,519731
2387,4,422,동대문역사문화공원(4),2022-09,388432
2388,4,423,충무로(4),2022-09,792594
2389,4,424,명동,2022-09,694992
2390,4,425,회현,2022-09,684050
2391,4,426,서울역(4),2022-09,524520
2392,4,427,숙대입구,2022-09,393867
2393,4,428,삼각지(4),2022-09,180909
2394,4,429,신용산,2022-09,495260
2395,4,430,이촌,2022-09,253146
2396,4,431,동작,2022-09,67358
2397,4,432,이수(총신대입구),2022-09,577138
2398,4,433,사당(4),2022-09,642704
2399,4,434,남태령,2022-09,31332
2400,5,2511,방화,2022-09,178076
2401,5,2512,개화산,2022-09,148383
2402,5,2513,김포공항(5),2022-09,217524
2403,5,2514,송정,2022-09,169353
2404,5,2515,마곡,2022-09,280503
2405,5,2516,발산,2022-09,578285
2406,5,2517,우장산,2022-09,396463
2407,5,2518,화곡,2022-09,727175
2408,5,2519,까치산(5),2022-09,748841
2409,5,2520,신정,2022-09,309232
2410,5,2521,목동,2022-09,485966
2411,5,2522,오목교,2022-09,635946
2412,5,2523,양평(5),2022-09,189757
2413,5,2524,영등포구청(5),2022-09,113450
2414,5,2525,영등포시장,2022-09,294383
2415,5,2526,신길(5),2022-09,120386
2416,5,2527,여의도(5),2022-09,764862
2417,5,2528,여의나루,2022-09,476061
2418,5,2529,마포,2022-09,374452
2419,5,2530,공덕(5),2022-09,388592
2420,5,2531,애오개,2022-09,174976
2421,5,2532,충정로(5),2022-09,122293
2422,5,2533,서대문,2022-09,512764
2423,5,2534,광화문,2022-09,899717
2424,5,2535,종로3가(5),2022-09,387633
2425,5,2536,을지로4가(5),2022-09,167421
2426,5,2537,동대문역사문화공원(5),2022-09,90190
2427,5,2538,청구(5),2022-09,97463
2428,5,2539,신금호,2022-09,182166
2429,5,2540,행당,2022-09,197798
2430,5,2541,왕십리(5),2022-09,146213
2431,5,2542,마장,2022-09,153564
2432,5,2543,답십리,2022-09,413127
2433,5,2544,장한평,2022-09,497542
2434,5,2545,군자(5),2022-09,342026
2435,5,2546,아차산,2022-09,411627
2436,5,2547,광나루,2022-09,355857
2437,5,2548,천호(5),2022-09,519267
2438,5,2549,강동,2022-09,484176
2439,5,2550,길동,2022-09,228258
2440,5,2551,굽은다리,2022-09,251392
2441,5,2552,명일,2022-09,247555
2442,5,2553,고덕,2022-09,262205
2443,5,2554,상일동,2022-09,372710
2444,5,2555,둔촌동,2022-09,226645
2445,5,2556,올림픽공원(5),2022-09,136955
2446,5,2557,방이,2022-09,202039
2447,5,2558,오금(5),2022-09,99569
2448,5,2559,개롱,2022-09,184340
2449,5,2560,거여,2022-09,263990
2450,5,2561,마천,2022-09,195703
2451,5,2562,강일,2022-09,126925
2452,5,2563,미사,2022-09,466653
2453,5,2564,하남풍산,2022-09,114822
2454,5,2565,하남시청,2022-09,197660
2455,5,2566,하남검단산,2022-09,173640
2456,6,2611,응암,2022-09,475597
2457,6,2612,역촌,2022-09,120483
2458,6,2613,불광(6),2022-09,122308
2459,6,2614,독바위,2022-09,83143
2460,6,2616,구산,2022-09,161500
2461,6,2617,새절,2022-09,327649
2462,6,2618,증산,2022-09,275824
2463,6,2619,디지털미디어시티(6),2022-09,427734
2464,6,2620,월드컵경기장,2022-09,211878
2465,6,2621,마포구청,2022-09,353162
2466,6,2622,망원,2022-09,439794
2467,6,2623,합정(6),2022-09,383619
2468,6,2624,상수,2022-09,329430
2469,6,2625,광흥창,2022-09,234989
2470,6,2626,대흥,2022-09,265744
2471,6,2627,공덕(6),2022-09,474445
2472,6,2628,효창공원앞,2022-09,191849
2473,6,2629,삼각지(6),2022-09,173747
2474,6,2630,녹사평,2022-09,163065
2475,6,2631,이태원,2022-09,428021
2476,6,2632,한강진,2022-09,318133
2477,6,2633,버티고개,2022-09,60962
2478,6,2634,약수(6),2022-09,97131
2479,6,2635,청구(6),2022-09,103287
2480,6,2636,신당(6),2022-09,238767
2481,6,2637,동묘앞(6),2022-09,241639
